aX,aY,aZ,gX,gY,gZ
0.577,0.254,-0.352,-98.633,25.085,-33.386
0.551,0.233,-0.348,-93.506,17.029,-35.400
0.515,0.203,-0.329,-90.027,7.935,-37.415
0.474,0.194,-0.322,-87.769,-0.061,-38.208
0.427,0.185,-0.315,-84.717,-7.324,-37.659
0.413,0.183,-0.322,-81.482,-15.564,-37.842
0.416,0.164,-0.307,-79.773,-25.696,-40.222
0.425,0.128,-0.277,-79.163,-37.292,-44.006
0.426,0.084,-0.242,-78.003,-47.363,-45.166
0.419,0.054,-0.204,-76.904,-55.298,-43.518
0.400,0.035,-0.171,-74.341,-63.477,-42.480
0.390,-0.005,-0.158,-70.618,-72.571,-41.504
0.414,-0.013,-0.172,-67.200,-82.703,-41.809
0.427,0.034,-0.203,-62.805,-94.604,-45.044
0.394,0.016,-0.185,-57.861,-107.117,-50.171
0.371,-0.036,-0.125,-58.289,-116.882,-53.467
0.372,-0.080,-0.078,-63.416,-123.535,-53.040
0.409,-0.092,-0.054,-68.604,-125.183,-49.133
0.450,-0.122,-0.004,-71.960,-123.169,-43.579
0.463,-0.183,0.038,-78.552,-118.896,-37.292
0.468,-0.221,0.085,-87.952,-113.525,-31.250
0.479,-0.265,0.107,-94.421,-108.582,-25.879
0.495,-0.289,0.121,-94.604,-106.201,-21.973
0.497,-0.282,0.112,-89.600,-108.276,-19.958
0.484,-0.289,0.110,-82.214,-114.746,-20.752
0.444,-0.306,0.130,-73.914,-123.291,-24.292
0.422,-0.352,0.159,-64.819,-130.005,-29.602
0.436,-0.360,0.190,-54.993,-133.728,-36.316
0.476,-0.392,0.220,-45.471,-133.301,-42.419
0.523,-0.433,0.258,-37.964,-128.723,-46.448
0.535,-0.460,0.288,-34.363,-123.596,-46.997
0.517,-0.498,0.308,-34.180,-118.835,-46.570
0.539,-0.553,0.342,-35.828,-113.037,-47.180
0.585,-0.606,0.399,-37.720,-106.812,-48.584
0.634,-0.636,0.456,-35.950,-101.685,-49.805
0.642,-0.650,0.479,-31.067,-96.680,-48.950
0.659,-0.649,0.487,-22.888,-92.773,-47.974
0.641,-0.664,0.458,-15.564,-93.750,-48.706
0.626,-0.667,0.482,-9.521,-94.299,-51.636
0.653,-0.688,0.489,-3.235,-91.553,-53.528
0.757,-0.703,0.480,-0.122,-87.524,-54.810
0.784,-0.735,0.501,0.549,-87.158,-52.063
0.760,-0.706,0.545,-2.014,-83.557,-47.119
0.778,-0.684,0.526,-5.371,-70.190,-38.513
0.781,-0.676,0.461,-11.230,-52.917,-23.987
0.736,-0.628,0.422,-14.587,-42.419,-16.541
0.752,-0.624,0.430,-9.338,-39.734,-18.433
0.776,-0.649,0.463,-5.371,-45.227,-26.184
0.777,-0.713,0.505,-6.531,-54.504,-30.334
0.758,-0.737,0.543,-10.864,-58.594,-26.978
0.773,-0.765,0.569,-11.902,-54.504,-20.691
0.793,-0.798,0.600,-8.850,-47.302,-15.747
0.799,-0.850,0.632,-2.930,-39.856,-11.963
0.813,-0.886,0.635,5.005,-34.241,-10.315
0.792,-0.871,0.595,8.606,-36.072,-10.681
0.773,-0.851,0.565,11.169,-44.861,-12.634
0.729,-0.836,0.535,15.503,-56.091,-10.010
0.686,-0.839,0.525,20.264,-66.345,-1.160
0.676,-0.828,0.557,22.888,-74.280,10.864
0.731,-0.861,0.600,25.696,-78.491,25.024
0.782,-0.856,0.648,29.053,-81.909,36.377
0.777,-0.828,0.672,34.058,-85.876,40.955
0.805,-0.807,0.705,42.175,-88.196,40.527
0.835,-0.802,0.726,50.598,-88.623,37.842
0.857,-0.758,0.791,58.655,-87.891,36.133
0.879,-0.692,0.799,61.401,-81.848,41.687
0.868,-0.637,0.772,58.167,-76.233,53.040
0.884,-0.620,0.808,52.917,-76.721,61.401
0.781,-0.666,0.702,47.424,-85.388,70.068
0.729,-0.746,0.757,-84.778,-4.517,-48.096
0.847,-0.545,0.760,-18.860,-12.451,-85.144
1.047,-0.652,0.752,49.194,-13.184,-80.444
1.053,-0.575,0.742,82.153,-19.775,-79.407
1.040,-0.531,0.663,83.618,-22.827,-67.139
1.060,-0.516,0.643,68.604,-11.841,-49.805
1.001,-0.521,0.613,42.725,-0.732,-35.583
0.942,-0.545,0.605,15.564,12.085,-19.775
0.913,-0.542,0.571,-5.798,26.245,-3.906
0.905,-0.506,0.526,-17.578,36.133,7.996
0.885,-0.458,0.482,-22.095,41.199,19.653
0.844,-0.417,0.425,-22.034,42.725,27.527
0.816,-0.373,0.387,-18.066,41.382,27.466
0.825,-0.332,0.341,-11.414,35.767,23.743
0.831,-0.279,0.313,-5.005,27.039,20.142
0.841,-0.243,0.289,2.747,17.517,16.846
0.849,-0.209,0.286,8.850,9.155,15.198
0.855,-0.184,0.297,12.268,4.211,13.733
0.899,-0.152,0.352,13.306,3.906,13.550
0.918,-0.129,0.381,12.207,3.906,15.320
0.926,-0.093,0.384,10.559,4.822,16.174
0.948,-0.051,0.389,10.254,8.301,15.625
0.939,-0.042,0.384,9.888,12.634,14.099
0.927,-0.030,0.371,8.362,15.381,10.742
0.922,-0.030,0.353,6.836,16.418,7.019
0.907,-0.043,0.334,5.981,14.771,3.906
0.891,-0.057,0.320,5.310,12.451,2.197
0.872,-0.065,0.309,4.028,9.155,1.038
0.855,-0.071,0.303,3.723,4.211,-1.221
0.864,-0.083,0.315,4.272,0.305,-2.747
0.868,-0.089,0.326,4.944,-2.441,-3.357
0.865,-0.087,0.351,5.432,-5.310,-4.028
0.890,-0.096,0.376,6.470,-5.798,-4.333
0.910,-0.093,0.395,6.653,-4.028,-4.395
0.915,-0.091,0.398,5.920,-1.404,-5.188
0.916,-0.096,0.400,4.944,1.099,-6.470
0.895,-0.119,0.398,3.784,2.747,-7.568
0.876,-0.134,0.392,3.418,2.319,-8.484
0.870,-0.145,0.380,3.723,0.732,-7.935
0.869,-0.147,0.373,3.784,-1.160,-5.981
0.866,-0.155,0.379,2.197,-2.747,-2.930
0.871,-0.159,0.394,0.122,-4.395,-1.343
0.865,-0.167,0.409,-0.488,-6.348,0.122
0.885,-0.165,0.429,0.366,-6.042,2.014
0.903,-0.164,0.441,1.160,-3.845,4.028
0.900,-0.155,0.436,0.916,-1.953,5.066
0.900,-0.142,0.430,1.831,-0.854,4.456
0.906,-0.135,0.414,3.906,0.427,3.540
0.900,-0.124,0.401,5.188,2.258,2.625
0.901,-0.118,0.388,5.127,3.296,0.854
0.890,-0.117,0.376,4.700,2.563,0.427
0.870,-0.123,0.362,3.662,1.282,2.075
0.869,-0.118,0.350,3.052,-0.244,2.991
0.876,-0.114,0.353,2.014,-2.319,3.174
0.875,-0.121,0.367,-0.305,-4.639,4.333
0.879,-0.131,0.381,-2.502,-6.165,5.371
0.887,-0.132,0.393,-3.723,-7.080,6.897
0.894,-0.138,0.397,-3.967,-7.385,8.728
