aX,aY,aZ,gX,gY,gZ
0.563,-0.046,0.902,-11.841,-68.848,-82.581
0.560,-0.067,0.938,-5.554,-66.528,-73.608
0.566,-0.077,0.953,-3.357,-59.082,-62.683
0.562,-0.073,0.940,-2.319,-45.776,-52.551
0.555,-0.068,0.900,0.916,-30.884,-45.654
0.515,-0.074,0.846,7.568,-17.822,-41.077
0.500,-0.084,0.771,14.893,-6.348,-36.743
0.487,-0.102,0.694,21.851,3.723,-32.410
0.461,-0.127,0.602,26.917,10.559,-27.710
0.445,-0.143,0.497,28.931,16.357,-22.278
0.425,-0.144,0.375,29.236,22.888,-16.907
0.420,-0.142,0.241,30.762,27.771,-10.803
0.413,-0.138,0.099,34.424,26.917,-4.822
0.419,-0.142,-0.035,40.466,15.991,0.549
0.426,-0.151,-0.114,47.729,1.404,6.531
0.430,-0.162,-0.161,52.429,-15.503,13.123
0.404,-0.148,-0.175,52.185,-33.386,21.790
0.384,-0.113,-0.178,46.814,-49.744,33.447
0.351,-0.054,-0.167,39.673,-65.735,46.875
0.320,0.028,-0.151,34.424,-80.505,59.509
0.295,0.122,-0.120,34.973,-93.872,68.787
0.278,0.194,-0.061,42.480,-106.323,73.792
0.262,0.255,0.015,51.941,-115.845,76.233
0.057,0.998,1.639,62.073,-174.866,40.344
0.059,1.034,1.793,60.059,-155.640,29.602
0.122,1.029,1.905,60.974,-130.127,12.634
0.186,0.947,1.984,64.331,-102.539,-8.057
0.118,0.831,2.023,64.697,-75.562,-23.560
0.196,0.753,2.023,61.768,-43.030,-33.752
0.207,0.681,1.962,61.523,-13.184,-40.588
0.251,0.601,1.861,65.002,13.367,-44.006
0.283,0.516,1.748,71.533,35.828,-44.800
0.303,0.437,1.636,77.332,51.270,-43.152
0.313,0.364,1.537,79.529,58.899,-39.368
0.310,0.314,1.478,76.782,58.167,-33.691
0.297,0.282,1.449,68.909,50.110,-26.123
0.300,0.260,1.441,56.885,39.734,-17.639
0.304,0.250,1.440,42.297,31.860,-10.254
0.298,0.246,1.427,26.306,28.076,-4.456
0.278,0.254,1.384,10.498,28.381,-0.122
0.249,0.277,1.311,-2.869,31.921,4.333
0.223,0.306,1.219,-11.353,36.987,8.362
0.206,0.331,1.124,-13.550,41.443,11.169
0.194,0.348,1.044,-11.108,44.556,12.634
0.188,0.352,0.970,-6.714,46.753,13.794
0.183,0.364,0.895,-2.869,48.828,13.977
0.177,0.382,0.824,-0.488,50.110,13.672
